FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
1/1/2020,1,-99,-99,-99,3,2,3,1,-99,-99,8,2,6,10,1,9,21,6,3,2,5,2,27,38,13,7,8,9,19,-99,4,2,4,13,5,3,2
1/1/2020,2,-99,-99,-99,1,1,4,1,-99,-99,9,2,3,6,1,2,24,3,4,2,3,2,29,38,16,5,18,4,15,-99,6,5,4,9,4,3,2
1/1/2020,3,-99,-99,-99,1,1,4,1,-99,-99,15,3,3,5,1,2,24,1,3,2,3,2,23,32,12,1,18,6,21,-99,6,2,5,11,4,5,4
1/1/2020,4,-99,-99,-99,1,3,4,1,-99,-99,6,3,2,12,1,4,26,1,3,2,2,2,21,32,12,1,23,8,17,-99,9,2,8,14,11,4,3
1/1/2020,5,-99,-99,-99,0,2,5,1,-99,-99,16,2,2,5,1,3,24,2,3,2,3,2,22,31,7,2,22,5,17,-99,9,2,7,11,10,5,3
1/1/2020,6,-99,-99,-99,0,1,4,1,-99,-99,20,2,1,2,1,3,23,1,5,2,3,3,20,29,2,2,19,3,16,-99,11,2,6,12,8,5,2
1/1/2020,7,-99,-99,-99,0,2,4,2,-99,-99,20,1,2,3,1,2,24,1,6,2,3,3,18,26,6,3,11,4,14,-99,11,1,3,14,5,5,3
1/1/2020,8,-99,-99,-99,1,2,4,2,-99,-99,14,1,2,9,2,3,25,1,5,2,3,3,19,26,9,5,13,6,11,-99,10,2,6,13,3,4,3
1/1/2020,9,-99,-99,-99,8,8,8,12,-99,-99,19,2,8,15,10,7,25,6,6,6,7,12,22,28,16,14,17,15,16,-99,16,9,12,18,12,6,7
1/1/2020,10,-99,-99,-99,19,24,23,30,-99,-99,23,27,26,25,27,27,24,22,18,15,29,26,25,31,24,29,23,24,30,-99,28,24,23,26,21,26,22
1/1/2020,11,-99,-99,-99,31,30,35,41,-99,-99,35,59,35,30,31,33,24,23,25,20,31,31,26,35,29,45,26,27,43,-99,30,33,32,27,24,31,27
1/1/2020,12,-99,-99,-99,35,30,30,33,-99,-99,42,41,39,31,32,28,26,24,28,20,30,33,28,33,30,44,26,27,49,-99,29,30,33,28,24,30,28
1/1/2020,13,-99,-99,-99,27,27,33,40,-99,-99,27,37,31,32,30,29,27,24,28,20,30,34,28,34,30,43,27,27,48,-99,30,31,34,31,23,30,29
1/1/2020,14,-99,-99,-99,19,30,35,35,-99,-99,18,37,23,33,30,33,28,28,29,24,33,30,29,34,32,43,29,28,23,-99,33,25,37,35,24,29,28
1/1/2020,15,-99,-99,-99,21,34,37,30,-99,-99,22,30,25,35,34,37,28,31,32,22,36,31,32,37,35,32,31,30,25,-99,36,22,28,41,28,30,30
1/1/2020,16,-99,-99,-99,22,33,38,30,-99,-99,22,30,25,36,36,37,28,-99,33,21,37,29,33,33,34,28,32,30,28,-99,33,23,28,39,30,32,32
1/1/2020,17,-99,-99,-99,22,31,33,27,-99,-99,22,26,23,34,34,34,26,-99,31,21,33,25,32,34,33,28,31,29,29,-99,34,22,27,36,27,30,30
1/1/2020,18,-99,-99,-99,19,27,31,24,-99,-99,18,23,21,30,29,32,24,-99,27,20,30,19,29,37,31,24,29,25,24,-99,35,20,24,35,27,25,25
1/1/2020,19,-99,-99,-99,14,23,26,21,-99,-99,15,17,17,28,25,29,21,-99,22,18,26,16,26,38,30,21,29,20,22,-99,36,17,20,34,26,20,22
1/1/2020,20,-99,-99,-99,13,21,23,19,-99,-99,15,15,16,24,24,24,20,-99,19,17,23,16,25,34,25,20,26,17,18,-99,30,16,20,30,24,17,21
1/1/2020,21,-99,-99,-99,13,19,21,17,-99,-99,16,12,14,20,19,21,20,-99,16,15,19,16,24,30,23,17,21,14,19,-99,24,15,17,27,20,14,18
1/1/2020,22,-99,-99,-99,15,16,18,14,-99,-99,15,12,16,17,15,19,19,-99,13,9,14,14,24,28,21,15,20,10,20,-99,22,15,15,22,17,10,14
1/1/2020,23,-99,-99,-99,14,13,16,9,-99,-99,13,9,14,14,15,16,18,-99,10,12,13,8,22,27,19,-99,19,10,20,-99,18,13,14,18,16,8,13
1/1/2020,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
1/2/2020,4,-99,-99,19,12,17,15,19,-99,-99,16,14,5,15,-99,-99,18,14,12,8,16,8,16,20,16,17,16,-99,16,-99,19,9,15,18,14,15,-99
1/2/2020,5,-99,-99,18,11,15,15,17,-99,-99,15,13,5,15,-99,-99,17,14,11,10,16,5,14,21,15,16,16,-99,17,-99,17,6,14,19,14,14,-99
1/2/2020,6,-99,-99,20,1,13,10,16,-99,-99,16,10,15,11,-99,-99,18,12,9,8,12,4,13,21,9,15,16,-99,18,-99,16,7,11,18,13,11,-99
1/2/2020,7,-99,-99,20,0,9,1,13,-99,-99,15,3,9,9,-99,-99,19,8,6,1,9,3,10,23,3,12,14,-99,19,-99,17,5,12,18,12,5,-99
1/2/2020,8,-99,-99,21,1,11,2,12,-99,-99,15,1,11,8,-99,-99,19,8,3,1,10,2,11,24,4,13,15,-99,10,-99,17,6,15,19,13,2,-99
1/2/2020,9,-99,-99,21,9,14,11,15,-99,-99,18,7,16,13,14,-99,21,12,7,3,16,6,15,24,12,18,16,-99,15,-99,17,11,17,20,15,6,-99
1/2/2020,10,-99,-99,22,16,18,16,18,-99,-99,19,19,18,19,19,-99,22,15,16,7,19,15,21,24,20,20,20,-99,20,-99,21,14,17,21,17,15,-99
1/2/2020,11,-99,-99,23,18,20,20,20,-99,-99,18,23,20,22,22,-99,21,17,19,10,22,18,22,24,22,21,20,-99,21,-99,22,17,20,22,18,20,-99
1/2/2020,12,-99,-99,22,20,19,24,20,-99,-99,19,23,22,24,22,-99,22,18,21,11,21,18,23,26,24,21,21,-99,22,-99,24,21,24,23,18,22,-99
1/2/2020,13,-99,-99,23,20,20,26,22,-99,-99,20,22,24,21,20,-99,22,19,21,13,20,20,25,29,24,22,22,-99,22,-99,26,21,26,23,18,23,-99
1/2/2020,14,-99,-99,27,18,18,26,22,-99,-99,19,21,22,20,22,-99,21,19,22,13,19,20,26,29,25,23,22,-99,23,-99,28,20,25,23,19,22,-99
1/2/2020,15,-99,-99,25,21,18,22,23,-99,-99,18,23,22,19,19,-99,20,19,18,12,19,19,26,31,24,23,22,-99,22,-99,29,19,24,23,19,-99,16
1/2/2020,16,-99,-99,23,23,19,25,23,-99,-99,22,24,24,18,19,-99,25,20,18,14,18,20,25,29,23,25,22,-99,25,-99,27,21,26,23,19,22,15
1/2/2020,17,-99,-99,27,23,22,27,27,-99,-99,22,25,25,21,19,-99,26,21,20,17,20,22,22,28,21,28,20,-99,27,-99,26,22,27,26,19,24,16
1/2/2020,18,-99,-99,30,26,23,24,28,-99,-99,24,23,22,19,17,-99,29,21,14,10,21,19,20,31,21,30,21,-99,28,-99,27,18,26,26,20,23,12
1/2/2020,19,-99,-99,28,19,21,22,28,-99,-99,24,19,15,16,8,-99,29,11,12,8,16,14,20,34,23,30,25,-99,27,-99,27,17,20,23,18,18,9
1/2/2020,20,-99,-99,28,17,9,22,25,-99,-99,22,17,16,11,7,-99,25,6,6,15,12,16,21,33,21,26,24,-99,24,-99,29,16,18,24,14,10,5
1/2/2020,21,-99,-99,24,15,11,22,24,-99,-99,19,14,12,6,12,-99,22,13,12,16,10,12,23,31,23,23,22,-99,21,-99,27,15,17,24,18,17,9
1/2/2020,22,-99,-99,20,15,14,20,16,-99,-99,17,6,12,13,6,-99,21,11,11,14,7,15,22,29,15,15,20,-99,22,-99,25,15,18,22,14,17,6
1/2/2020,23,-99,-99,22,17,12,20,16,-99,-99,18,7,14,12,7,-99,23,6,13,13,6,13,22,29,15,17,19,-99,23,-99,25,14,19,20,15,18,6
1/2/2020,24,-99,-99,21,20,14,20,22,-99,-99,21,13,14,20,10,-99,22,15,16,7,12,5,22,27,19,24,21,-99,25,-99,24,14,17,20,18,12,9
1/3/2020,1,-99,32,22,24,14,27,9,-99,-99,27,9,21,21,13,-99,25,14,18,6,13,15,23,26,20,23,20,-99,32,-99,24,17,21,21,18,12,9
1/3/2020,2,-99,34,31,25,15,29,11,-99,-99,28,12,25,22,15,-99,34,13,17,8,17,16,22,34,20,11,19,-99,30,-99,26,19,23,27,19,16,12
1/3/2020,3,-99,35,26,28,18,24,16,-99,-99,29,9,26,23,18,-99,39,16,17,13,18,7,23,40,21,14,21,-99,32,-99,33,23,25,31,21,17,9
1/3/2020,4,-99,22,28,23,16,19,10,-99,-99,28,14,30,19,10,-99,37,10,10,13,14,16,26,40,19,11,27,-99,30,-99,35,23,20,27,20,16,10
1/3/2020,5,-99,23,15,19,17,29,11,-99,-99,26,5,27,8,9,-99,31,17,4,17,13,17,27,44,9,21,24,-99,23,-99,31,21,23,12,13,17,10
1/3/2020,6,-99,31,7,16,9,20,14,-99,-99,27,1,27,10,11,-99,18,2,3,11,6,16,25,42,15,18,23,-99,20,-99,21,19,26,12,7,9,5
1/3/2020,7,-99,19,9,3,1,3,5,-99,-99,23,1,10,5,1,-99,22,1,1,3,3,3,18,41,7,8,18,-99,14,-99,15,2,19,8,2,6,2
1/3/2020,8,-99,30,7,0,3,2,2,-99,-99,5,1,1,4,1,-99,33,1,1,1,3,2,14,38,10,2,19,-99,5,-99,11,1,6,5,2,9,1
1/3/2020,9,-99,28,15,0,5,3,9,-99,-99,8,1,2,2,3,-99,31,5,3,5,5,4,12,38,7,10,3,-99,5,-99,15,3,3,5,7,3,5
1/3/2020,10,-99,23,34,6,10,5,11,-99,-99,23,6,9,14,8,-99,28,10,8,5,11,-99,23,38,12,10,9,-99,23,-99,19,11,6,13,9,8,7
1/3/2020,11,-99,27,41,18,20,13,25,-99,-99,35,17,16,19,20,-99,20,17,21,10,21,-99,38,41,22,22,22,-99,34,-99,32,17,19,-99,19,19,15
1/3/2020,12,-99,30,43,25,30,29,34,-99,-99,40,23,26,31,29,-99,46,28,32,16,35,-99,45,46,36,35,39,-99,38,-99,41,30,32,-99,29,28,28
1/3/2020,13,-99,42,43,36,43,41,47,-99,-99,42,30,35,46,44,-99,50,37,43,25,42,-99,52,48,46,45,44,-99,42,-99,46,40,39,47,41,41,38
1/3/2020,14,-99,46,46,38,47,41,53,-99,-99,46,38,40,51,49,-99,50,47,45,27,46,-99,49,49,50,53,45,-99,47,-99,45,40,43,50,44,47,41
1/3/2020,15,-99,52,55,45,51,48,56,-99,-99,49,45,42,55,51,-99,48,53,46,26,48,-99,48,51,48,54,45,50,54,-99,46,43,45,52,42,49,46
1/3/2020,16,-99,56,61,49,47,49,52,-99,-99,44,52,46,54,55,-99,47,49,48,30,44,50,48,52,49,48,46,53,49,-99,48,41,47,52,42,49,41
1/3/2020,17,-99,47,52,41,43,51,45,-99,-99,43,51,51,45,44,-99,46,39,46,27,39,48,45,50,44,42,43,39,44,-99,48,42,48,51,36,46,35
1/3/2020,18,-99,44,44,41,36,49,39,-99,-99,36,40,35,40,36,-99,42,27,41,28,32,39,41,50,41,40,42,33,38,-99,42,32,37,43,33,30,30
1/3/2020,19,-99,22,38,25,25,15,31,-99,-99,30,8,12,34,27,-99,33,12,26,20,25,21,35,50,34,37,41,20,29,-99,32,10,25,41,26,17,18
1/3/2020,20,-99,22,29,15,16,3,25,-99,-99,28,3,15,32,18,-99,23,12,7,8,13,15,31,48,31,22,37,10,18,-99,26,5,19,39,14,2,17
1/3/2020,21,-99,17,16,1,16,2,14,-99,-99,25,1,5,30,14,-99,29,10,15,8,4,11,27,41,25,14,36,17,17,-99,23,1,10,26,10,2,15
1/3/2020,22,-99,22,8,0,13,2,10,-99,-99,24,1,1,15,14,-99,33,9,8,5,3,8,25,42,17,4,29,7,22,-99,13,1,3,17,5,1,15
1/3/2020,23,-99,22,4,0,7,2,10,-99,-99,18,1,1,15,5,-99,35,2,13,7,2,2,21,38,9,4,30,12,21,-99,12,1,8,14,7,3,3
1/3/2020,24,-99,34,2,0,11,2,5,-99,-99,13,1,2,7,2,-99,34,7,4,2,5,2,22,39,20,10,30,12,23,-99,11,1,6,11,16,5,3
1/4/2020,1,-99,38,3,0,9,2,1,-99,-99,7,1,2,11,1,-99,34,4,2,1,5,1,12,40,12,2,2,4,17,-99,13,1,3,11,9,1,3
1/4/2020,2,-99,38,7,0,6,3,1,-99,-99,16,1,4,3,1,-99,34,4,1,2,5,1,12,40,2,0,1,5,17,-99,12,1,2,13,11,1,0
1/4/2020,3,-99,34,11,0,7,3,1,-99,-99,15,1,5,7,2,-99,34,4,1,1,3,1,8,41,3,0,15,2,14,-99,14,1,2,6,12,1,1
1/4/2020,4,-99,35,13,0,5,3,1,-99,-99,20,3,3,1,5,-99,33,7,1,2,4,2,2,41,1,1,6,1,21,-99,15,2,2,7,3,1,3
1/4/2020,5,-99,32,17,9,2,2,1,-99,-99,12,5,5,1,1,-99,34,4,1,2,4,1,1,41,1,5,2,1,17,-99,14,1,2,8,3,6,1
1/4/2020,6,-99,21,10,8,0,2,1,-99,-99,9,2,14,1,1,-99,33,0,3,2,3,5,0,35,1,0,1,3,1,-99,7,4,5,2,1,8,1
1/4/2020,7,-99,8,8,4,1,2,1,-99,-99,1,7,6,2,1,-99,32,0,5,1,3,3,0,29,2,0,1,8,1,-99,5,1,4,1,1,8,1
1/4/2020,8,-99,2,10,3,3,4,1,-99,-99,3,11,10,2,1,-99,33,1,10,4,3,5,0,17,2,1,3,13,1,-99,5,2,9,2,1,13,1
1/4/2020,9,-99,9,9,9,9,7,11,-99,-99,10,15,13,7,4,-99,27,6,13,2,7,12,5,15,6,8,6,14,8,-99,7,7,9,7,7,18,3
1/4/2020,10,-99,14,24,13,14,10,17,-99,-99,18,19,18,18,12,-99,28,11,16,4,11,15,16,21,14,16,11,16,17,-99,16,12,18,13,11,23,10
1/4/2020,11,-99,23,32,14,22,17,25,-99,-99,26,22,20,24,22,-99,36,16,21,7,16,19,24,30,25,21,19,22,27,-99,25,17,25,19,16,24,18
1/4/2020,12,-99,36,41,22,28,32,37,-99,-99,36,29,28,34,35,-99,39,22,28,13,27,28,32,40,37,32,34,28,38,-99,41,26,31,32,28,32,29
1/4/2020,13,-99,51,52,32,38,46,46,-99,-99,41,36,36,47,49,-99,48,36,37,21,41,41,39,56,50,45,45,38,49,-99,60,34,41,47,38,41,36
1/4/2020,14,-99,65,68,39,55,54,58,-99,-99,50,37,45,62,65,-99,53,47,50,36,55,52,49,76,61,60,56,49,60,-99,73,42,48,63,50,49,50
1/4/2020,15,-99,79,82,36,69,64,71,-99,-99,58,49,50,74,74,-99,62,59,56,35,67,58,61,91,72,77,65,57,70,-99,84,42,50,81,59,51,60
1/4/2020,16,-99,90,93,40,74,64,80,-99,-99,60,53,49,76,74,-99,68,65,56,33,68,59,69,99,81,86,70,58,78,-99,86,42,57,89,65,53,60
1/4/2020,17,-99,84,98,40,62,60,64,-99,-99,53,51,50,70,70,-99,71,58,46,36,58,48,71,91,76,72,72,54,67,-99,84,40,54,82,59,45,64
1/4/2020,18,-99,55,79,36,-99,45,48,-99,-99,43,44,45,50,51,-99,57,41,31,29,35,39,62,87,50,52,51,39,56,-99,73,31,44,60,41,37,50
1/4/2020,19,-99,36,42,28,-99,32,34,-99,-99,37,42,36,38,34,-99,39,31,22,25,23,32,43,60,32,36,29,29,44,-99,44,23,37,41,27,28,39
1/4/2020,20,-99,29,27,27,-99,26,31,-99,-99,31,30,29,29,28,-99,28,25,16,24,21,27,31,41,20,31,21,24,37,-99,30,17,31,29,19,25,31
1/4/2020,21,-99,29,24,15,-99,20,27,-99,-99,28,22,31,28,28,-99,26,21,14,21,23,23,23,29,15,29,15,20,34,-99,23,21,14,25,12,16,21
1/4/2020,22,-99,22,11,12,-99,16,24,-99,-99,28,3,30,19,22,-99,29,14,8,18,13,23,12,28,9,25,6,14,33,-99,14,10,15,25,12,16,21
1/4/2020,23,-99,24,4,13,-99,15,18,-99,-99,27,1,23,18,20,-99,32,10,7,17,16,20,8,28,5,21,4,11,20,-99,13,9,18,17,4,11,18
1/4/2020,24,-99,28,7,17,-99,13,20,-99,-99,24,1,16,21,9,-99,32,11,13,19,9,17,8,29,5,19,3,16,11,-99,16,12,13,10,4,17,8
1/5/2020,1,-99,30,8,21,-99,14,15,-99,-99,17,0,15,8,8,-99,26,12,20,22,11,9,1,28,3,17,4,11,16,-99,14,14,8,10,2,16,3
1/5/2020,2,-99,34,8,21,-99,21,12,-99,-99,16,0,12,1,4,-99,35,11,5,19,4,9,1,26,2,21,3,8,16,-99,16,16,5,2,2,9,4
1/5/2020,3,-99,26,14,22,-99,19,13,-99,-99,7,0,19,3,1,-99,35,12,20,4,14,15,0,28,9,21,8,11,20,-99,9,11,13,1,1,20,3
1/5/2020,4,-99,21,11,11,-99,6,14,-99,-99,10,0,17,7,1,-99,38,4,16,1,8,16,1,26,14,15,10,20,22,-99,9,8,20,2,2,16,1
1/5/2020,5,-99,19,14,21,-99,4,5,-99,-99,10,0,16,10,1,-99,42,3,10,1,4,15,2,27,17,15,17,10,12,-99,10,6,10,4,7,15,1
1/5/2020,6,-99,19,7,23,-99,4,1,-99,-99,9,0,16,5,1,-99,44,1,2,1,2,9,4,24,14,10,18,6,14,-99,7,6,4,9,7,5,1
1/5/2020,7,-99,19,6,10,-99,3,1,-99,-99,4,0,8,2,1,-99,44,1,2,1,3,8,5,16,11,2,10,2,7,-99,12,7,3,6,3,3,1
1/5/2020,8,-99,22,4,3,-99,7,2,-99,-99,7,1,6,3,2,-99,46,1,2,2,4,2,1,22,10,2,2,2,5,-99,10,3,3,1,2,3,2
1/5/2020,9,-99,20,9,8,-99,13,10,-99,-99,23,2,6,7,7,-99,50,6,5,3,8,5,7,32,16,11,7,4,28,-99,8,9,10,7,8,10,5
1/5/2020,10,-99,21,53,24,-99,15,18,-99,-99,28,12,18,15,15,-99,58,12,12,5,12,15,22,36,22,22,17,13,26,-99,23,20,21,16,15,20,11
1/5/2020,11,-99,31,64,35,-99,30,30,-99,-99,49,24,28,23,27,-99,66,20,21,9,20,21,31,40,34,34,30,20,37,-99,36,32,32,29,23,31,19
1/5/2020,12,-99,50,66,46,-99,40,45,-99,-99,61,43,43,38,40,-99,65,33,29,24,35,37,41,54,43,44,39,32,54,-99,51,44,44,48,32,51,35
1/5/2020,13,-99,63,70,59,-99,49,61,-99,-99,66,61,55,63,52,-99,67,52,45,35,50,53,50,72,55,61,51,47,64,-99,69,54,59,62,45,60,56
1/5/2020,14,-99,72,77,61,-99,70,69,-99,-99,71,66,65,76,74,-99,72,59,57,48,58,65,61,83,66,69,62,62,77,-99,80,57,65,71,52,63,68
1/5/2020,15,-99,78,83,58,-99,78,74,-99,-99,74,70,63,77,91,-99,83,62,69,62,60,65,72,87,75,77,69,63,82,-99,83,60,73,78,53,63,69
1/5/2020,16,-99,85,86,63,-99,77,77,-99,-99,76,76,66,82,96,-99,87,71,63,59,79,65,82,90,81,80,73,65,84,-99,82,56,68,79,65,63,77
1/5/2020,17,-99,86,90,61,-99,69,79,-99,-99,71,89,70,86,101,-99,85,77,61,56,79,60,82,91,81,81,73,63,82,-99,83,54,62,81,69,66,81
1/5/2020,18,-99,75,84,63,-99,56,74,-99,-99,61,66,61,72,90,-99,74,73,47,23,71,49,72,89,82,70,69,53,70,-99,75,50,74,84,67,60,54
1/5/2020,19,-99,70,43,41,-99,39,53,-99,-99,23,49,21,38,34,-99,54,18,31,19,17,17,61,74,40,48,29,35,28,-99,63,39,43,51,36,38,47
1/5/2020,20,-99,68,22,33,-99,17,43,-99,-99,4,40,25,4,18,-99,56,8,25,23,23,34,14,75,4,45,10,27,16,-99,43,21,28,13,3,25,23
1/5/2020,21,-99,55,13,28,-99,8,26,-99,-99,3,25,19,4,6,-99,54,5,11,18,11,16,3,69,8,43,30,13,25,-99,44,17,21,13,6,13,2
1/5/2020,22,-99,42,5,22,-99,7,1,-99,-99,10,18,5,7,1,-99,54,1,7,2,10,2,1,58,5,13,5,7,26,-99,48,11,11,10,1,8,2
1/5/2020,23,-99,38,6,11,-99,3,1,-99,-99,22,1,5,2,1,-99,57,0,9,2,8,1,1,56,4,30,2,-99,32,-99,36,4,7,5,1,7,2
1/5/2020,24,-99,35,17,21,-99,4,3,-99,-99,6,1,8,2,1,-99,56,2,12,2,7,4,1,58,1,28,2,8,36,-99,21,6,5,3,1,2,2
1/6/2020,1,-99,31,26,27,-99,6,2,-99,-99,19,1,10,1,1,-99,53,1,9,2,4,5,1,57,2,23,2,1,23,-99,14,14,3,1,1,2,1
1/6/2020,2,-99,22,35,8,-99,5,1,-99,-99,7,1,9,1,1,-99,51,0,8,2,3,2,0,51,2,21,2,1,30,-99,22,4,3,1,1,4,1
1/6/2020,3,-99,19,35,13,-99,3,1,-99,-99,14,0,7,2,1,-99,51,0,1,2,3,1,1,51,4,19,2,1,30,-99,24,5,7,2,1,1,2
1/6/2020,4,-99,24,29,12,-99,3,1,-99,-99,12,0,9,1,1,-99,49,0,1,2,3,1,1,47,3,15,5,1,20,-99,14,7,9,2,1,1,3
1/6/2020,5,-99,22,18,7,-99,3,1,-99,-99,16,0,7,3,1,-99,48,0,1,2,3,1,0,46,5,9,7,2,23,-99,17,4,3,2,1,2,2
1/6/2020,6,-99,29,10,0,-99,3,1,-99,-99,15,0,3,5,1,-99,43,0,1,2,3,1,0,39,2,6,2,1,18,-99,4,2,2,1,1,2,2
1/6/2020,7,-99,30,4,0,-99,3,1,-99,-99,7,0,1,0,1,-99,44,0,2,2,6,1,0,40,1,2,2,1,2,-99,4,1,2,1,1,2,2
1/6/2020,8,-99,33,4,0,-99,3,1,-99,-99,8,0,2,1,1,-99,44,1,2,3,5,2,1,43,2,1,2,1,5,-99,6,2,3,2,1,3,1
1/6/2020,9,-99,8,17,1,-99,4,3,-99,-99,6,1,3,5,4,-99,43,1,3,3,6,2,2,43,3,6,2,3,17,-99,9,4,4,-99,5,6,3
1/6/2020,10,-99,14,49,6,-99,8,12,-99,-99,10,4,5,11,13,-99,42,9,6,4,10,7,14,43,9,17,7,6,27,-99,28,9,6,-99,15,10,7
1/6/2020,11,-99,27,64,-99,-99,17,33,-99,-99,32,10,13,23,26,-99,48,24,15,9,16,17,25,55,19,22,19,14,30,-99,40,20,14,-99,26,21,19
1/6/2020,12,-99,53,72,-99,-99,38,54,-99,-99,43,32,36,41,49,-99,45,44,18,19,25,37,41,81,43,50,32,30,49,-99,71,28,33,48,39,35,41
1/6/2020,13,-99,72,80,38,-99,62,65,-99,-99,61,59,51,74,83,-99,48,50,53,43,59,52,69,92,75,75,59,54,72,-99,94,41,65,78,54,58,64
1/6/2020,14,-99,85,95,58,-99,76,84,-99,-99,73,75,66,86,95,-99,53,62,62,63,72,71,81,104,86,90,81,62,87,-99,103,52,78,89,71,63,-99
1/6/2020,15,-99,103,110,69,-99,95,94,-99,-99,81,86,75,90,103,-99,69,77,77,69,78,80,86,106,103,108,100,77,101,-99,107,65,91,113,80,71,-99
1/6/2020,16,-99,121,120,81,-99,108,101,-99,-99,89,93,89,103,114,-99,78,90,77,75,83,87,88,87,109,114,113,76,117,-99,99,72,100,124,82,77,-99
1/6/2020,17,-99,120,109,86,-99,112,99,-99,-99,91,81,87,114,118,-99,83,85,94,86,97,91,92,80,103,115,98,74,117,-99,88,74,95,120,77,76,81
1/6/2020,18,-99,101,103,64,-99,89,91,-99,-99,79,68,78,93,94,-99,75,91,63,70,88,74,82,77,76,102,62,70,106,-99,68,58,75,91,61,59,64
1/6/2020,19,-99,88,74,39,-99,34,59,-99,-99,35,38,49,54,48,-99,54,24,30,43,26,47,51,64,55,64,55,38,58,-99,49,17,35,56,33,32,60
1/6/2020,20,-99,47,35,21,-99,4,29,-99,-99,33,30,35,26,14,-99,43,11,11,23,15,26,47,69,45,33,53,18,30,-99,49,8,10,39,17,18,28
1/6/2020,21,-99,31,17,26,-99,4,13,-99,-99,28,10,26,32,4,-99,39,2,2,5,2,16,27,65,28,37,45,19,3,-99,48,5,9,41,7,9,11
1/6/2020,22,-99,40,3,21,-99,3,2,-99,-99,11,1,3,21,3,-99,40,3,1,2,3,7,1,61,3,31,4,17,9,-99,37,2,7,22,2,1,4
1/6/2020,23,-99,44,9,21,-99,3,5,-99,-99,7,1,9,1,1,-99,45,2,1,2,3,5,1,51,1,27,1,2,19,-99,16,2,6,1,13,1,11
1/6/2020,24,-99,40,15,25,-99,2,16,-99,-99,5,1,10,1,1,-99,40,0,1,2,3,20,1,48,1,33,1,2,25,-99,5,4,3,1,4,1,3
1/7/2020,1,-99,38,6,31,2,3,24,-99,-99,9,1,23,1,1,-99,33,0,2,2,3,26,0,45,1,29,1,2,22,-99,9,12,3,1,1,1,1
1/7/2020,2,-99,43,3,36,2,3,24,-99,-99,18,1,32,1,1,-99,34,0,2,2,3,25,1,40,2,31,1,2,28,-99,19,13,7,1,1,1,2
1/7/2020,3,-99,49,9,37,2,4,22,-99,-99,28,2,29,1,1,-99,43,0,1,2,10,1,0,38,1,26,1,1,32,-99,27,16,12,3,1,1,2
1/7/2020,4,-99,51,12,34,2,10,3,-99,-99,30,1,26,1,1,-99,48,0,1,2,5,1,0,43,5,26,1,2,35,-99,19,14,12,5,1,1,2
1/7/2020,5,-99,49,7,37,2,7,12,-99,-99,22,0,29,0,1,-99,51,0,1,2,3,1,0,44,2,37,1,2,34,-99,9,19,7,2,1,1,2
1/7/2020,6,-99,52,10,21,3,3,21,-99,-99,19,0,13,1,1,-99,49,0,1,2,3,1,0,48,3,35,1,2,27,-99,5,5,5,1,1,1,3
1/7/2020,7,-99,45,12,24,2,2,2,-99,-99,20,0,5,1,1,-99,45,1,1,2,4,9,1,48,1,1,1,2,4,-99,11,1,3,1,1,2,4
1/7/2020,8,-99,36,5,16,2,3,1,-99,-99,14,1,3,1,1,-99,44,1,1,2,5,14,1,46,2,10,1,2,3,-99,4,1,2,1,1,2,5
1/7/2020,9,-99,38,23,24,10,5,7,-99,-99,28,5,5,2,2,-99,42,2,10,2,5,18,1,48,5,14,3,6,20,-99,6,8,9,2,2,5,4
1/7/2020,10,-99,35,43,27,23,20,26,-99,-99,41,36,22,13,10,-99,37,15,16,13,18,20,-99,46,9,31,6,20,44,-99,16,15,21,17,10,25,14
1/7/2020,11,-99,40,41,32,25,23,35,-99,-99,41,35,34,36,37,-99,39,22,25,16,26,27,-99,43,31,36,22,27,44,-99,24,24,36,32,22,32,32
1/7/2020,12,-99,41,45,36,36,34,38,-99,-99,45,45,39,42,-99,-99,42,31,34,19,33,33,-99,44,40,38,36,35,47,-99,37,31,43,34,28,38,35
1/7/2020,13,-99,43,47,38,42,42,45,-99,-99,46,49,42,48,-99,-99,44,38,40,30,38,40,-99,50,46,43,43,41,49,-99,47,38,50,40,40,41,41
